Short Name,Full Name
ARC,Anderson Athletic and Recreation Complex
FieldHouse,Field House
Track,Outdoor Track / Athletic Track
Admissions,Admissions Office
Anderson,Anderson Student Center
KochCommons,Koch Commons
StudentCenterAnnex,Student Center Annex
SummitClassroom,Summit Classroom Building
Aquinas,Aquinas Hall
GraceHall,Grace Hall
Brady,Brady Hall
CretinHall,Cretin Hall
Dowling,Dowling Hall
LorasHall,Loras Hall
Chapel,Chapel of St. Thomas Aquinas
FlynnHall,Flynn Hall
Murray,Murray-Herrick Campus Center
FreyHall,Frey Hall
Ireland,Ireland Hall
JohnRoach,John Roach Center
Schoenecker,Schoenecker Center
LawSchool,School of Law Building
Terrace,Terrace / Outdoor Terrace Area
Library,University Library
MusicBuilding,Music Building
OEC,O�Shaughnessy Educational Center
McNeely,McNeely Hall
OSS,O'Shaughnessy Science Hall
ParkingRamp,Parking Ramp
StJohnVianney,St. John Vianney Hall
