Source,Target,Distance
Anderson Athletic Recreation Center,Field House,0.000539
Anderson Athletic Recreation Center,Summit Classroom Building,0.00103
Anderson Athletic Recreation Center,Track,0.001118
Anderson Student Center,Koch Commons,0.000447
Anderson Student Center,O'Shaughnessy Science Hall,0.00086
Anderson Student Center,Student Center Annex,0.000707
Anderson Student Center,Summit Classroom Building,0.000671
Brady Educational Center,Frey Residence Hall,0.001118
Chapel,Student Center Annex,0.000608
Field House,Track,0.00086
Frey Residence Hall,O'Shaughnessy-Frey Library Center,0.001118
Koch Commons,O'Shaughnessy Science Hall,0.000424
Koch Commons,O'Shaughnessy-Frey Library Center,0.001063
Koch Commons,Student Center Annex,0.00114
Koch Commons,Summit Classroom Building,0.000806
O'Shaughnessy Educational Center,O'Shaughnessy Science Hall,0.000943
O'Shaughnessy Educational Center,Schoenecker Center,0.000583
O'Shaughnessy Science Hall,Summit Classroom Building,0.001005
O'Shaughnessy-Frey Library Center,O'Shaughnessy Science Hall,0.001118
Parking Ramp,Anderson Athletic Recreation Center,0.00153
Student Center Annex,Summit Classroom Building,0.000806
