building_name,code,latitude,longitude,category,sustainability_relevance,source_url,status
Anderson Athletic Recreation Center,AARC,44.94,-93.191,building,Part of UST campus network,,game_node
Anderson Student Center,Anderson,44.9415,-93.1902,building,Part of UST campus network,,game_node
Brady Educational Center,Brady,44.9425,-93.1875,building,Part of UST campus network,,game_node
Chapel,Chapel,44.9417,-93.1915,building,Part of UST campus network,,game_node
Field House,FieldHouse,44.9395,-93.1908,building,Part of UST campus network,,game_node
Frey Residence Hall,FreyHall,44.943,-93.1885,building,Part of UST campus network,,game_node
Koch Commons,KochCommons,44.9413,-93.1898,building,Part of UST campus network,,game_node
O'Shaughnessy-Frey Library Center,Library,44.942,-93.189,building,Part of UST campus network,,game_node
O'Shaughnessy Educational Center,OEC,44.9405,-93.1887,building,Part of UST campus network,,game_node
O'Shaughnessy Science Hall,OSS,44.941,-93.1895,building,Part of UST campus network,,game_node
Parking Ramp,ParkingRamp,44.9403,-93.1925,building,Part of UST campus network,,game_node
Schoenecker Center,Schoenecker,44.9402,-93.1882,building,Part of UST campus network,,game_node
Student Center Annex,StudentCenterAnnex,44.9416,-93.1909,building,Part of UST campus network,,game_node
Summit Classroom Building,SummitClassroom,44.9409,-93.1905,building,Part of UST campus network,,game_node
Track,Track,44.939,-93.1915,building,Part of UST campus network,,game_node
